Date,NYSEOpen,NYSEHigh,NYSELow,NYSEClose,NYSEVolume,ISEOpen,ISEHigh,ISELow,ISEClose,ISEVolume
3-Jul-06,16.69,16.85,16.61,16.69,958300.00,13.00,13.10,12.80,13.00,61600.00
4-Jul-06,,,,,0.00,13.00,13.20,12.80,13.00,30000.00
5-Jul-06,16.61,16.61,16.20,16.36,2324500.00,12.90,13.00,12.59,13.00,138800.00
6-Jul-06,16.49,16.60,16.01,16.12,2611200.00,13.00,13.00,12.51,12.75,85800.00
7-Jul-06,16.22,16.35,15.79,15.82,2850500.00,12.60,12.99,12.25,12.30,53100.00
10-Jul-06,15.87,16.05,15.40,15.48,2971700.00,12.27,12.50,12.15,12.50,73200.00
11-Jul-06,15.26,15.47,14.92,15.14,5522000.00,12.40,12.40,11.69,11.75,69300.00
12-Jul-06,15.15,15.55,15.14,15.51,3293400.00,11.75,12.00,11.75,11.90,144200.00
13-Jul-06,15.44,15.72,15.12,15.29,4120500.00,12.00,12.23,11.81,11.81,67600.00
14-Jul-06,15.10,15.29,14.55,14.73,4790800.00,12.00,12.00,11.52,11.52,70200.00
17-Jul-06,14.51,14.65,14.05,14.25,6034700.00,11.51,11.64,11.15,11.51,45800.00
18-Jul-06,14.20,14.34,13.61,13.85,7579700.00,11.59,11.59,11.01,11.10,63400.00
19-Jul-06,13.80,14.70,13.72,14.47,5751900.00,11.00,11.50,10.74,11.50,120700.00
20-Jul-06,14.60,14.84,14.07,14.07,2890600.00,11.65,11.65,11.20,11.38,85000.00
21-Jul-06,14.07,14.15,13.14,13.31,7850200.00,11.35,11.35,10.65,10.70,52700.00
24-Jul-06,13.70,13.75,13.19,13.43,6071400.00,10.70,10.75,10.40,10.55,129100.00
25-Jul-06,13.31,14.07,13.30,13.90,4212600.00,10.48,10.94,10.41,10.94,322000.00
26-Jul-06,14.09,14.94,13.95,14.72,7829100.00,10.91,11.44,10.91,11.30,125000.00
27-Jul-06,14.92,14.98,14.30,14.37,3706900.00,11.30,11.55,11.17,11.17,105100.00
28-Jul-06,14.47,15.09,14.45,14.94,4515100.00,11.50,11.55,11.02,11.55,24100.00
31-Jul-06,14.94,15.54,14.81,15.34,5082500.00,11.60,11.75,11.28,11.72,87500.00
1-Aug-06,15.45,15.45,14.64,15.00,5115000.00,11.90,12.34,11.35,11.69,79600.00
2-Aug-06,14.99,15.08,14.66,14.80,4073800.00,11.34,11.60,11.20,11.45,258500.00
3-Aug-06,14.61,15.23,14.55,15.05,4084800.00,11.25,11.47,11.03,11.40,109400.00
4-Aug-06,15.15,15.49,15.12,15.18,4370800.00,11.45,11.85,11.40,11.85,79000.00
7-Aug-06,15.07,15.35,14.91,15.22,1782100.00,11.85,11.89,11.33,11.33,66700.00
8-Aug-06,15.23,15.32,14.89,15.09,2651300.00,11.75,11.87,11.61,11.70,80200.00
9-Aug-06,14.95,15.23,14.74,14.84,3562200.00,11.50,11.68,11.39,11.53,83400.00
10-Aug-06,14.61,14.93,14.60,14.84,2167200.00,11.60,11.60,11.25,11.49,81600.00
11-Aug-06,14.78,14.97,14.53,14.62,1210800.00,11.40,11.56,11.33,11.48,89300.00
14-Aug-06,14.52,14.68,14.33,14.56,2498400.00,11.33,11.40,11.10,11.32,86000.00
15-Aug-06,14.60,14.96,14.57,14.76,2537600.00,11.35,11.48,11.20,11.48,37000.00
16-Aug-06,14.80,15.23,14.79,15.07,3833000.00,11.35,11.57,11.21,11.50,115100.00
17-Aug-06,14.97,15.07,14.67,14.86,3063800.00,11.40,11.60,11.35,11.55,161700.00
