time,pos
0,0.737
0.05,0.744
0.1,0.743
0.15,0.736
0.2,0.723
0.25,0.71
0.3,0.699
0.35,0.694
0.4,0.697
0.45,0.707
0.5,0.72
0.55,0.733
0.6,0.742
0.65,0.744
0.7,0.739
0.75,0.728
0.8,0.714
0.85,0.702
0.9,0.695
0.95,0.696
1,0.703
1.05,0.716
1.1,0.729
1.15,0.739
1.2,0.744
1.25,0.741
1.3,0.731
1.35,0.718
1.4,0.706
1.45,0.697
1.5,0.695
1.55,0.701
1.6,0.712
1.65,0.725
1.7,0.737
1.75,0.743
1.8,0.742
1.85,0.735
1.9,0.722
1.95,0.709
2,0.699
2.05,0.695
2.1,0.698
2.15,0.708
2.2,0.721
2.25,0.734
2.3,0.742
2.35,0.746
2.4,0.738
2.45,0.727
2.5,0.713
2.55,0.702
2.6,0.696
2.65,0.697
2.7,0.705
2.75,0.717
2.8,0.73
2.85,0.74
2.9,0.744
2.95,0.74
3,0.73
3.05,0.717
3.1,0.705
3.15,0.697
3.2,0.696
3.25,0.702
3.3,0.713
3.35,0.726
3.4,0.737
3.45,0.743
3.5,0.742
3.55,0.734
3.6,0.721
3.65,0.708
3.7,0.699
3.75,0.695
3.8,0.699
3.85,0.709
3.9,0.722
3.95,0.734
4,0.742
4.05,0.745
4.1,0.737
4.15,0.725
4.2,0.712
4.25,0.701
4.3,0.696
4.35,0.697
4.4,0.706
4.45,0.718
4.5,0.731
4.55,0.74
4.6,0.743
4.65,0.739
4.7,0.729
4.75,0.716
4.8,0.704
4.85,0.697
4.9,0.696
4.95,0.703
5,0.714
