Timestamp,Initials,Distance,Travel Time
7/13/2012 11:38:15,km,827,8
7/13/2012 11:38:23,jlb,799,14
7/13/2012 11:38:54,kam,828,48
7/13/2012 11:38:58,jcv35,828,48
7/13/2012 11:39:10,PAO,813,69
7/13/2012 11:39:13,bb,813,69
7/13/2012 11:39:18,jb,799,14
7/13/2012 11:39:18,rjp,810,30
7/13/2012 11:39:20,jcv35,853,88
7/13/2012 11:39:21,kam,821,42
7/13/2012 11:39:44,bb,837,69
7/13/2012 11:39:46,jt,813,129
7/13/2012 11:40:02,kam,844,81
7/13/2012 11:40:04,bb,821,42
7/13/2012 11:40:09,JR,790,75
7/13/2012 11:40:11,jb,875,92
7/13/2012 11:40:19,rjp,870,79
7/13/2012 11:40:27,em,805,57
7/13/2012 11:40:27,bb,853,88
7/13/2012 11:40:34,jcv,1165,418
7/13/2012 11:40:44,jt,823,97
7/13/2012 11:41:06,bb,1248,456
7/13/2012 11:41:08,jcv,830,57
7/13/2012 11:41:15,PAO,815,38
7/13/2012 11:41:17,hj,792,3
7/13/2012 11:41:22,JR,829,61
7/13/2012 11:41:24,jt,820,40
7/13/2012 11:41:33,MM,828,13.9
7/13/2012 11:41:46,bb,1271,576
7/13/2012 11:41:46,jb,810,30
7/13/2012 11:41:50,jt,828,48
7/13/2012 11:42:11,jt,825,50
7/13/2012 11:42:14,em,802,20
